PeakID (cmd=annotatePeaks.pl peakcalling/LARP4_consensus_peaks2.bed hg38 -annStats annotation_stats.txt),Chr,Start,End,Strand,Gene Name
LARP4_rep1_peak_7039,chr20,3615746,3615985,+,GFRA4
LARP4_rep1_peak_1175,chr10,73007889,73008376,+,PLA2G12B
LARP4_rep1_peak_6868,chr2,230877921,230879147,+,LOC151484
LARP4_rep1_peak_6224,chr2,20032710,20033420,+,LAPTM4A
LARP4_rep1_peak_2885,chr14,24305171,24305901,+,LTB4R2
LARP4_rep1_peak_3107,chr14,103912338,103912855,+,ATP5MPL
LARP4_rep1_peak_6203,chr2,10440549,10440864,+,SNORA80B
LARP4_rep1_peak_3996,chr16,69462401,69462989,+,CYB5B
LARP4_rep1_peak_10950,chr9,87730874,87731359,+,CTSL
LARP4_rep1_peak_1971,chr11,75571623,75572741,+,SERPINH1
LARP4_rep1_peak_8857,chr4,165497437,165498260,+,MIR578
LARP4_rep1_peak_3377,chr15,88898756,88899536,+,HAPLN3
LARP4_rep1_peak_262,chr1,19303997,19304445,+,AKR7A2
LARP4_rep1_peak_1201,chr10,79512528,79513737,+,EIF5AL1
LARP4_rep1_peak_8419,chr3,129169881,129170688,+,ISY1-RAB43
LARP4_rep1_peak_3293,chr15,72199084,72199850,+,GRAMD2A
LARP4_rep1_peak_2490,chr12,110434927,110435341,+,ARPC3
LARP4_rep1_peak_6083,chr19,53875964,53876400,+,PRKCG
LARP4_rep1_peak_8230,chr3,49359976,49360435,+,GPX1
LARP4_rep1_peak_5814,chr19,38836493,38836902,+,ECH1
LARP4_rep1_peak_9203,chr5,173034234,173034805,+,SNORA74B
LARP4_rep1_peak_4966,chr17,80135312,80135644,+,EIF4A3
LARP4_rep1_peak_5220,chr19,541209,541988,+,GZMM
LARP4_rep1_peak_4602,chr17,41690627,41691535,+,EIF1
LARP4_rep1_peak_3064,chr14,95543847,95544563,+,GLRX5
LARP4_rep1_peak_6346,chr2,47386450,47386914,+,MIR559
LARP4_rep1_peak_4667,chr17,43527972,43528853,+,ETV4
LARP4_rep1_peak_6222,chr2,19992546,19993205,+,LOC101928222
LARP4_rep1_peak_2365,chr12,56712463,56712705,+,NACA
LARP4_rep1_peak_7685,chr22,17735441,17735712,+,MIR3198-1
LARP4_rep1_peak_7028,chr20,3047583,3048203,+,MRPS26
LARP4_rep1_peak_5685,chr19,18531857,18532384,+,ELL
LARP4_rep1_peak_3597,chr16,5084638,5085334,+,ALG1
LARP4_rep1_peak_2750,chr13,99562591,99563321,+,LINC01039
LARP4_rep1_peak_5699,chr19,18620308,18620982,+,TMEM59L
LARP4_rep1_peak_4639,chr17,42778819,42779566,+,WNK4
LARP4_rep1_peak_136,chr1,6264310,6264786,+,GPR153
LARP4_rep1_peak_202,chr1,11919677,11920507,+,KIAA2013
LARP4_rep1_peak_7009,chr20,1369047,1370233,+,MIR6869
LARP4_rep1_peak_5418,chr19,4542682,4543603,+,LRG1
LARP4_rep1_peak_320,chr1,25900664,25901152,+,STMN1
LARP4_rep1_peak_6190,chr2,9585014,9585485,+,ADAM17
LARP4_rep1_peak_8778,chr4,99948239,99948661,+,H2AFZ
LARP4_rep1_peak_8276,chr3,52228706,52229279,+,TLR9
LARP4_rep1_peak_7861-2,chr22,37805982,37807347,+,GCAT
LARP4_rep1_peak_2334,chr12,56112762,56113044,+,RPL41
LARP4_rep1_peak_2718,chr13,48261038,48261813,+,ITM2B
LARP4_rep1_peak_269,chr1,19975495,19975819,+,PLA2G2A
LARP4_rep1_peak_10243,chr7,103471870,103472468,+,SLC26A5
LARP4_rep1_peak_11384,chrX,1386275,1386820,+,SLC25A6
LARP4_rep1_peak_8961,chr5,53485968,53486555,+,FST
LARP4_rep1_peak_823,chr1,160358069,160358829,+,NHLH1
LARP4_rep1_peak_4585,chr17,39921193,39922697,+,GSDMB
LARP4_rep1_peak_5021,chr17,81932429,81933527,+,PYCR1
LARP4_rep1_peak_5159,chr18,58396128,58396472,+,MIR122
LARP4_rep1_peak_7492,chr21,25880853,25881912,+,ATP5PF
LARP4_rep1_peak_3476,chr16,1324553,1325286,+,BAIAP3
LARP4_rep1_peak_2393,chr12,57720695,57721514,+,AGAP2-AS1
LARP4_rep1_peak_10839,chr9,19050347,19050886,+,RRAGA
LARP4_rep1_peak_5534,chr19,10391235,10391760,+,TYK2
LARP4_rep1_peak_4840,chr17,74446764,74447329,+,GPRC5C
LARP4_rep1_peak_10527,chr8,22593648,22594229,+,C8orf58
LARP4_rep1_peak_3022,chr14,92703881,92704478,+,LGMN
LARP4_rep1_peak_8817,chr4,121668085,121668622,+,ANXA5
LARP4_rep1_peak_1767,chr11,64203977,64204494,+,FERMT3
LARP4_rep1_peak_8954,chr5,43290925,43291222,+,HMGCS1
LARP4_rep1_peak_1280,chr10,100523770,100524102,+,SEC31B
LARP4_rep1_peak_1186,chr10,75230753,75231248,+,COMTD1
LARP4_rep1_peak_5961,chr19,46775005,46775784,+,SLC1A5
LARP4_rep1_peak_3929,chr16,56943089,56943848,+,HERPUD1
LARP4_rep1_peak_882,chr1,180196855,180197945,+,LHX4
LARP4_rep1_peak_11733,chrY,1386292,1386815,+,SLC25A6
LARP4_rep1_peak_2583,chr12,123597587,123597983,+,DDX55
LARP4_rep1_peak_9050,chr5,112878528,112878941,+,SRP19
LARP4_rep1_peak_8088,chr3,10300975,10301501,+,GHRL
LARP4_rep1_peak_3439,chr16,400135,400625,+,DECR2
LARP4_rep1_peak_2065,chr11,120228842,120229874,+,POU2F3
LARP4_rep1_peak_9861,chr7,988473,989507,+,CYP2W1
LARP4_rep1_peak_6478,chr2,74969280,74969689,+,POLE4
LARP4_rep1_peak_4942,chr17,78171568,78172689,+,SYNGR2
LARP4_rep1_peak_7825,chr22,36266897,36267445,+,APOL1
LARP4_rep1_peak_9077,chr5,133955639,133955991,+,C5orf15
LARP4_rep1_peak_7684,chr22,17592271,17592813,+,LOC101929372
LARP4_rep1_peak_2809-2,chr14,20699603,20700523,+,RNASE4
LARP4_rep1_peak_3088,chr14,102081171,102081920,+,HSP90AA1
LARP4_rep1_peak_1686,chr11,61866883,61867274,+,MIR6746
LARP4_rep1_peak_6739,chr2,187466707,187467151,+,CALCRL
LARP4_rep1_peak_3143,chr14,105470292,105470635,+,CRIP2
LARP4_rep1_peak_29,chr1,1216974,1217817,+,TNFRSF4
LARP4_rep1_peak_5240,chr19,896571,897537,+,RNU6-7
LARP4_rep1_peak_336,chr1,26946033,26946373,+,KDF1
LARP4_rep1_peak_726,chr1,153959159,153960798,+,CRTC2
LARP4_rep1_peak_6795,chr2,216205039,216205589,+,LINC01963
LARP4_rep1_peak_8456,chr3,141925465,141926171,+,ATP1B3
LARP4_rep1_peak_7121,chr20,25300269,25300975,+,PYGB
LARP4_rep1_peak_1259,chr10,97432228,97433390,+,PGAM1
LARP4_rep1_peak_201,chr1,11749973,11750701,+,C1orf167
LARP4_rep1_peak_8606,chr4,1167028,1167615,+,SPON2
LARP4_rep1_peak_3298,chr15,72343661,72344246,+,CELF6
LARP4_rep1_peak_11293,chr9,137048142,137048936,+,NPDC1
LARP4_rep1_peak_3419,chr16,47123,47675,+,POLR3K
LARP4_rep1_peak_7967,chr22,45600207,45601002,+,LINC01589
LARP4_rep1_peak_10769,chr8,143992643,143993376,+,GRINA
LARP4_rep1_peak_6488,chr2,84423575,84423888,+,SUCLG1
LARP4_rep1_peak_11530,chrX,55007282,55007714,+,APEX2
LARP4_rep1_peak_2022,chr11,116789400,116790381,+,ZPR1
LARP4_rep1_peak_6173,chr2,3498436,3499133,+,ADI1
LARP4_rep1_peak_5908-2,chr19,44819250,44821394,+,BCAM
LARP4_rep1_peak_11135,chr9,129147246,129148873,+,IER5L
LARP4_rep1_peak_2077,chr11,125620639,125621268,+,CHEK1
LARP4_rep1_peak_7780,chr22,29554894,29556091,+,THOC5
LARP4_rep1_peak_5676,chr19,18306974,18307606,+,LSM4
LARP4_rep1_peak_5747,chr19,34399830,34400305,+,PDCD2L
LARP4_rep1_peak_10272,chr7,128091797,128092549,+,MIR593
LARP4_rep1_peak_10828,chr9,6532632,6533243,+,GLDC
LARP4_rep1_peak_5664,chr19,17582352,17583070,+,COLGALT1
LARP4_rep1_peak_1940,chr11,71434482,71435896,+,FLJ42102
LARP4_rep1_peak_6362,chr2,54669188,54669567,+,EML6
LARP4_rep1_peak_2407,chr12,64716407,64716899,+,GNS
LARP4_rep1_peak_1401,chr11,404467,404825,+,SIGIRR
LARP4_rep1_peak_21,chr1,1054736,1055975,+,LOC100288175
LARP4_rep1_peak_10222,chr7,101137394,101138277,+,SERPINE1
LARP4_rep1_peak_7094,chr20,18763195,18763807,+,LINC00652
LARP4_rep1_peak_456,chr1,43622707,43623583,+,KDM4A
LARP4_rep1_peak_7056,chr20,4699861,4700194,+,PRNP
LARP4_rep1_peak_7755,chr22,24188228,24189005,+,SUSD2
LARP4_rep1_peak_10869,chr9,35056720,35057339,+,C9orf131
LARP4_rep1_peak_6805,chr2,218253752,218254265,+,GPBAR1
LARP4_rep1_peak_231,chr1,16124514,16125326,+,EPHA2
LARP4_rep1_peak_890,chr1,183144126,183144563,+,LAMC1-AS1
LARP4_rep1_peak_1130,chr10,46006355,46006716,+,NCOA4
LARP4_rep1_peak_11473,chrX,47247777,47248263,+,
LARP4_rep1_peak_514,chr1,54031800,54032435,+,LDLRAD1
LARP4_rep1_peak_287,chr1,21822376,21823854,+,LDLRAD2
LARP4_rep1_peak_7177,chr20,33853418,33854220,+,CHMP4B
LARP4_rep1_peak_9745,chr6,130834772,130835209,+,SMLR1
LARP4_rep1_peak_745,chr1,154944273,154945244,+,PMVK
LARP4_rep1_peak_9205,chr5,173316883,173318170,+,STC2
LARP4_rep1_peak_10040,chr7,45892882,45893505,+,IGFBP1
LARP4_rep1_peak_792,chr1,156239435,156239991,+,BGLAP
LARP4_rep1_peak_11718,chrX,155054547,155055003,+,CMC4
LARP4_rep1_peak_7026,chr20,3037976,3038645,+,GNRH2
LARP4_rep1_peak_5927,chr19,44992503,44993308,+,RELB
LARP4_rep1_peak_9101,chr5,137752429,137753360,+,HNRNPA0
LARP4_rep1_peak_2400,chr12,57823260,57823484,+,MIR26A2
LARP4_rep1_peak_61,chr1,1438979,1440694,+,VWA1
LARP4_rep1_peak_367,chr1,31433993,31434577,+,SERINC2
LARP4_rep1_peak_5940,chr19,45485463,45485906,+,RTN2
LARP4_rep1_peak_996,chr1,228493720,228494853,+,RNF187
LARP4_rep1_peak_2743,chr13,95794534,95794873,+,DNAJC3
LARP4_rep1_peak_9082,chr5,134157483,134157887,+,SKP1
LARP4_rep1_peak_2661,chr13,20403762,20404359,+,MIR4499
LARP4_rep1_peak_3610,chr16,10532646,10533126,+,LINC01290
LARP4_rep1_peak_1380,chr10,133355253,133355675,+,FUOM
LARP4_rep1_peak_11672,chrX,153695671,153696249,+,SLC6A8
LARP4_rep1_peak_5894,chr19,42507377,42507606,+,CEACAM1
LARP4_rep1_peak_986,chr1,228097847,228099060,+,MIR3620
LARP4_rep1_peak_1992,chr11,82824447,82825214,+,PRCP
LARP4_rep1_peak_5568,chr19,11553217,11553708,+,ELOF1
LARP4_rep1_peak_7949,chr22,42618890,42620065,+,RNU12
LARP4_rep1_peak_363,chr1,29326057,29326709,+,LINC01756
LARP4_rep1_peak_2048,chr11,119044251,119045800,+,HYOU1
LARP4_rep1_peak_1654,chr11,60890756,60891377,+,PRPF19
LARP4_rep1_peak_8467,chr3,149369409,149370028,+,TM4SF1
LARP4_rep1_peak_8246,chr3,50258320,50259233,+,SEMA3B-AS1
LARP4_rep1_peak_7875,chr22,38219403,38219630,+,SNORA92
LARP4_rep1_peak_2472,chr12,106237914,106239594,+,CKAP4
LARP4_rep1_peak_594,chr1,109237701,109238077,+,CELSR2
LARP4_rep1_peak_11170,chr9,133469863,133470287,+,SLC2A6
LARP4_rep1_peak_10657,chr8,100153189,100153488,+,POLR2K
LARP4_rep1_peak_4610,chr17,41822115,41823178,+,FKBP10
LARP4_rep1_peak_5371,chr19,3053004,3054177,+,TLE2
LARP4_rep1_peak_8053,chr22,50503100,50503530,+,LMF2
LARP4_rep1_peak_6226,chr2,20200853,20203332,+,SDC1
LARP4_rep1_peak_5756-2,chr19,35066145,35066476,+,HPN
LARP4_rep1_peak_9406,chr6,30727901,30728234,+,TUBB
LARP4_rep1_peak_4931,chr17,77500030,77500455,+,SEPTIN9
LARP4_rep1_peak_7908,chr22,40972390,40972642,+,RBX1
LARP4_rep1_peak_5283,chr19,1258432,1258981,+,MIDN
LARP4_rep1_peak_8422,chr3,129277224,129277719,+,HMCES
LARP4_rep1_peak_2409,chr12,65963175,65963681,+,MIR6074
LARP4_rep1_peak_6382,chr2,61868557,61868821,+,FAM161A
LARP4_rep1_peak_5528,chr19,10285000,10286524,+,ICAM4
LARP4_rep1_peak_9567,chr6,36685644,36686258,+,CDKN1A
LARP4_rep1_peak_9459,chr6,31829793,31830222,+,HSPA1B
LARP4_rep1_peak_3237,chr15,59638910,59639267,+,GTF2A2
LARP4_rep1_peak_7267,chr20,44942305,44942730,+,PABPC1L
LARP4_rep1_peak_7298,chr20,49114724,49114977,+,CSE1L
LARP4_rep1_peak_3034,chr14,94376821,94377826,+,SERPINA2
LARP4_rep1_peak_4138,chr16,87830133,87833140,+,MIR6775
LARP4_rep1_peak_280,chr1,21219391,21219607,+,EIF4G3
LARP4_rep1_peak_7352,chr20,62134972,62135216,+,PSMA7
LARP4_rep1_peak_5737,chr19,33387054,33387594,+,CEBPG
LARP4_rep1_peak_693,chr1,150965340,150966264,+,CERS2
LARP4_rep1_peak_8086,chr3,10126185,10126835,+,BRK1
LARP4_rep1_peak_3788,chr16,29858378,29859479,+,CDIPT
LARP4_rep1_peak_5378,chr19,3474435,3475023,+,SMIM24
LARP4_rep1_peak_6858,chr2,222941395,222942121,+,ACSL3
LARP4_rep1_peak_2246-2,chr12,49763569,49764142,+,TMBIM6
LARP4_rep1_peak_8538,chr3,186585227,186585628,+,DNAJB11
LARP4_rep1_peak_2246,chr12,49762763,49763403,+,TMBIM6
LARP4_rep1_peak_4943,chr17,78174242,78174912,+,SYNGR2
LARP4_rep1_peak_5591,chr19,12922532,12922946,+,MIR5695
LARP4_rep1_peak_10182,chr7,99396125,99396744,+,PDAP1
LARP4_rep1_peak_1366,chr10,131968073,131968705,+,BNIP3
LARP4_rep1_peak_742,chr1,154550034,154550591,+,UBE2Q1-AS1
LARP4_rep1_peak_3933,chr16,57256156,57257113,+,ARL2BP
LARP4_rep1_peak_2163,chr12,7157830,7158906,+,CLSTN3
LARP4_rep1_peak_9158,chr5,151101188,151101621,+,TNIP1
LARP4_rep1_peak_7643,chr21,45512064,45513639,+,SLC19A1
LARP4_rep1_peak_10645,chr8,96609368,96610111,+,CPQ
LARP4_rep1_peak_7885,chr22,38734797,38736470,+,SUN2
LARP4_rep1_peak_4842,chr17,74768385,74769229,+,NAT9
LARP4_rep1_peak_9267,chr5,180790682,180791954,+,MGAT1
LARP4_rep1_peak_10970,chr9,93121552,93122373,+,NINJ1
LARP4_rep1_peak_11079,chr9,124876801,124877527,+,ARPC5L
LARP4_rep1_peak_1235,chr10,89214364,89215169,+,CH25H
LARP4_rep1_peak_10998,chr9,98015281,98015705,+,ANP32B
LARP4_rep1_peak_1577,chr11,33708977,33710392,+,C11orf91
LARP4_rep1_peak_5392,chr19,3976138,3976813,+,DAPK3
LARP4_rep1_peak_8950,chr5,42800043,42800393,+,SELENOP
LARP4_rep1_peak_3430,chr16,264743,266025,+,RGS11
LARP4_rep1_peak_9368,chr6,26598250,26599102,+,ABT1
LARP4_rep1_peak_518,chr1,54849686,54852499,+,DHCR24
LARP4_rep1_peak_8163,chr3,40311856,40312222,+,EIF1B
LARP4_rep1_peak_6493,chr2,85322441,85322813,+,TGOLN2
LARP4_rep1_peak_5931,chr19,45162992,45163304,+,NKPD1
LARP4_rep1_peak_3945,chr16,58045204,58046745,+,MMP15
LARP4_rep1_peak_3357,chr15,80978287,80979499,+,MESD
LARP4_rep1_peak_1222,chr10,87051557,87051938,+,FAM25A
LARP4_rep1_peak_9735,chr6,119179507,119179830,+,FAM184A
LARP4_rep1_peak_2939,chr14,54427453,54427943,+,CNIH1
LARP4_rep1_peak_257,chr1,19074566,19074906,+,IFFO2
LARP4_rep1_peak_5872,chr19,42230247,42230547,+,ZNF526
LARP4_rep1_peak_4589,chr17,39997475,39997902,+,PSMD3
LARP4_rep1_peak_3739,chr16,27225030,27225258,+,KDM8
LARP4_rep1_peak_4747,chr17,50133871,50134128,+,SAMD14
LARP4_rep1_peak_7079,chr20,17613751,17614354,+,DSTN
LARP4_rep1_peak_6264,chr2,27040678,27041617,+,TMEM214
LARP4_rep1_peak_7930,chr22,41674024,41675335,+,SNU13
LARP4_rep1_peak_2996,chr14,75651029,75651680,+,ERG28
LARP4_rep1_peak_5663,chr19,17581052,17582001,+,COLGALT1
LARP4_rep1_peak_5538,chr19,10572704,10573174,+,CDKN2D
LARP4_rep1_peak_10699,chr8,125437933,125438161,+,TRIB1
LARP4_rep1_peak_11566,chrX,78125643,78126174,+,TAF9B
LARP4_rep1_peak_6258,chr2,26289772,26290303,+,ADGRF3
LARP4_rep1_peak_4332,chr17,6684813,6685068,+,ALOX15P1
LARP4_rep1_peak_4048,chr16,75577200,75577625,+,GABARAPL2
LARP4_rep1_peak_3223,chr15,55181534,55181768,+,RSL24D1
LARP4_rep1_peak_9401,chr6,30625405,30626297,+,ATAT1
LARP4_rep1_peak_789,chr1,156138983,156139918,+,SEMA4A
LARP4_rep1_peak_3696,chr16,18791761,18792205,+,RPS15A
LARP4_rep1_peak_3579,chr16,4382630,4383474,+,VASN
LARP4_rep1_peak_6556,chr2,96859825,96861191,+,ANKRD39
LARP4_rep1_peak_6082,chr19,53874886,53875319,+,MYADM
LARP4_rep1_peak_1866,chr11,66509043,66509470,+,BBS1
LARP4_rep1_peak_8864,chr4,176331961,176332164,+,SPCS3
LARP4_rep1_peak_758,chr1,155133892,155134797,+,SLC50A1
LARP4_rep1_peak_7396,chr20,62944710,62945609,+,GID8
LARP4_rep1_peak_1694,chr11,62516015,62516977,+,AHNAK
LARP4_rep1_peak_1587,chr11,44244033,44245215,+,ALX4
LARP4_rep1_peak_2406,chr12,64714171,64714480,+,GNS
LARP4_rep1_peak_10166,chr7,95404971,95405588,+,PON3
LARP4_rep1_peak_2223,chr12,47973099,47973630,+,TMEM106C
LARP4_rep1_peak_6495,chr2,85342171,85342683,+,RETSAT
LARP4_rep1_peak_1567,chr11,27366205,27366435,+,CCDC34
LARP4_rep1_peak_5553,chr19,11133512,11133768,+,MIR6886
LARP4_rep1_peak_1667,chr11,61346309,61346854,+,CYB561A3
LARP4_rep1_peak_8390-2,chr3,126542387,126543192,+,C3orf22
LARP4_rep1_peak_5006,chr17,81822498,81823473,+,MCRIP1
LARP4_rep1_peak_9810,chr6,160104615,160106430,+,LOC729603
LARP4_rep1_peak_2841,chr14,23058765,23059469,+,CDH24
LARP4_rep1_peak_2961,chr14,67676959,67677317,+,VTI1B
LARP4_rep1_peak_9945,chr7,5527270,5527956,+,ACTB
LARP4_rep1_peak_11448,chrX,38687992,38688788,+,MID1IP1
LARP4_rep1_peak_10254,chr7,106090982,106091272,+,SYPL1
LARP4_rep1_peak_4979,chr17,81115666,81116035,+,MIR657
LARP4_rep1_peak_4185,chr16,88652007,88652642,+,CYBA
LARP4_rep1_peak_552,chr1,85582885,85583545,+,CCN1
LARP4_rep1_peak_8412,chr3,128813730,128814070,+,MIR12124
LARP4_rep1_peak_5642,chr19,16101173,16101780,+,RAB8A
LARP4_rep1_peak_7856,chr22,37665435,37666907,+,PDXP
LARP4_rep1_peak_11324,chr9,137582124,137582425,+,DPH7
LARP4_rep1_peak_1685,chr11,61865544,61866253,+,MIR6746
LARP4_rep1_peak_10217,chr7,100802784,100803033,+,SLC12A9
LARP4_rep1_peak_10322,chr7,141006243,141006594,+,MRPS33
LARP4_rep1_peak_295,chr1,23557994,23558543,+,ID3
LARP4_rep1_peak_5258,chr19,972425,973176,+,WDR18
LARP4_rep1_peak_3882,chr16,46928774,46929416,+,SNORD148
LARP4_rep1_peak_9007,chr5,75361227,75361436,+,HMGCR
LARP4_rep1_peak_7270,chr20,45325893,45327482,+,MATN4
LARP4_rep1_peak_10520,chr8,22419477,22420041,+,PPP3CC
LARP4_rep1_peak_9250,chr5,177596699,177596900,+,B4GALT7
LARP4_rep1_peak_9236,chr5,177331665,177332370,+,LMAN2
LARP4_rep1_peak_5903,chr19,43622594,43623548,+,ZNF428
LARP4_rep1_peak_1849,chr11,66003558,66004107,+,BANF1
LARP4_rep1_peak_3283,chr15,68779798,68780275,+,MIR4312
LARP4_rep1_peak_3935,chr16,57382463,57384984,+,CX3CL1
LARP4_rep1_peak_1572,chr11,32105132,32105409,+,RCN1
LARP4_rep1_peak_9927,chr7,2661523,2663113,+,AMZ1
LARP4_rep1_peak_7266,chr20,44908163,44908420,+,PABPC1L
LARP4_rep1_peak_5326,chr19,1925323,1925777,+,CSNK1G2
LARP4_rep1_peak_9927-2,chr7,2663297,2664766,+,AMZ1
LARP4_rep1_peak_7137,chr20,32165297,32165867,+,TSPY26P
LARP4_rep1_peak_7137-2,chr20,32166188,32167054,+,TSPY26P
LARP4_rep1_peak_455,chr1,43622326,43622545,+,KDM4A
